attacked_rows,calibration_peak_state_bytes,elapsed_seconds,incremental_rss_bytes,k,method,n,output_bytes,p,peak_rss_bytes,rank,scenario,seed,state_bytes,status,subspace_error,throughput_rows_per_second,tier
68067,0,1201.440738951,35459072,50,rfd,68579,1600000,10000,308031488,20,cellwise,503,8240008,completed,0.9951403868786526,57.08063475513373,pbmc
68067,0,2372.315145908,130752512,50,sketch_mad,68579,1600000,10000,373768192,20,cellwise,503,14000024,completed,0.9833223973192602,28.908047954038373,pbmc
68067,0,1198.920670885,42065920,50,vanilla_fd,68579,1600000,10000,307949568,20,cellwise,503,8080000,completed,0.9973589122919141,57.20061524118811,pbmc
0,270532992,1305.198476546,54964224,50,dual_bound,68579,1600000,10000,1076609024,20,clean,503,12240000,completed,0.9847881591774991,52.5429666310088,pbmc
0,0,913.936414682,35368960,50,rfd,68579,1600000,10000,303529984,20,clean,503,8240008,completed,0.9246561651546574,75.03694884929358,pbmc
0,0,1950.952636316,130834432,50,sketch_mad,68579,1600000,10000,369037312,20,clean,503,14000024,completed,0.9813503016778895,35.15154531352349,pbmc
0,0,915.745784021,41951232,50,vanilla_fd,68579,1600000,10000,303742976,20,clean,503,8080000,completed,0.9712348947915067,74.88868766490258,pbmc
6807,270532992,2038.895421663,55156736,50,dual_bound,68579,1600000,10000,1077551104,20,in_subspace,503,12240000,completed,0.9773434241976692,33.63536906864227,pbmc
6807,0,1423.319416846,35536896,50,rfd,68579,1600000,10000,304029696,20,in_subspace,503,8240008,completed,0.9241045779201155,48.18243831168088,pbmc
6807,0,2559.79798571,130932736,50,sketch_mad,68579,1600000,10000,369954816,20,in_subspace,503,14000024,completed,0.9825606454308637,26.790785985003634,pbmc
6807,0,1272.927521454,41926656,50,vanilla_fd,68579,1600000,10000,303632384,20,in_subspace,503,8080000,completed,0.9706615802180324,53.87502339619911,pbmc
6807,270532992,545.222096689,27615232,50,dual_bound,68579,1600000,10000,1959481344,20,bounded_out_of_subspace,504,12240000,completed,0.9695404325473777,125.78176933118347,pbmc
6807,0,1460.289257622,33562624,50,rfd,68579,1600000,10000,1866485760,20,bounded_out_of_subspace,504,8240008,completed,0.9249060793278914,46.962613497326615,pbmc
6807,0,536.66305071,130076672,50,sketch_mad,68579,1600000,10000,370610176,20,bounded_out_of_subspace,504,14000024,completed,0.9830585513436468,127.78781753144855,pbmc
6807,0,1556.054368602,41832448,50,vanilla_fd,68579,1600000,10000,304320512,20,bounded_out_of_subspace,504,8080000,completed,0.9703918693744618,44.07236751092005,pbmc
6807,270532992,2149.062545961,54927360,50,dual_bound,68579,1600000,10000,1077481472,20,casewise,504,12240000,completed,0.9793158192874639,31.911123354175533,pbmc
6807,0,1696.10597859,35303424,50,rfd,68579,1600000,10000,304312320,20,casewise,504,8240008,completed,0.9952260277973741,40.43320456721155,pbmc
6807,0,2405.822137216,130818048,50,sketch_mad,68579,1600000,10000,370204672,20,casewise,504,14000024,completed,0.9852669256633876,28.505432275787072,pbmc
6807,0,1720.604110569,41967616,50,vanilla_fd,68579,1600000,10000,304201728,20,casewise,504,8080000,completed,0.9989359075009897,39.85751259034309,pbmc
68067,270532992,2154.530109903,55103488,50,dual_bound,68579,1600000,10000,1081122816,20,cellwise,504,12240000,completed,0.9921132434655621,31.830142305640617,pbmc
68067,0,1673.012881624,35528704,50,rfd,68579,1600000,10000,307429376,20,cellwise,504,8240008,completed,0.9962762072789019,40.99131617769141,pbmc
68067,0,2485.978384061,130867200,50,sketch_mad,68579,1600000,10000,374288384,20,cellwise,504,14000024,completed,0.9824397146697259,27.58632192447786,pbmc
68067,0,1752.258930864,42131456,50,vanilla_fd,68579,1600000,10000,307552256,20,cellwise,504,8080000,completed,0.9961591740800829,39.13748064972636,pbmc
0,270532992,2124.751008088,55148544,50,dual_bound,68579,1600000,10000,1076858880,20,clean,504,12240000,completed,0.9847881591774991,32.27625248273782,pbmc
0,0,1776.250969386,35274752,50,rfd,68579,1600000,10000,303505408,20,clean,504,8240008,completed,0.9246559707479309,38.60884592434921,pbmc
0,0,2593.963262156,130859008,50,sketch_mad,68579,1600000,10000,369541120,20,clean,504,14000024,completed,0.9813503016778895,26.437922618456764,pbmc
0,0,1689.291251443,41885696,50,vanilla_fd,68579,1600000,10000,303599616,20,clean,504,8080000,completed,0.9712348947915067,40.59631513595984,pbmc
6807,270532992,2064.235636984,55111680,50,dual_bound,68579,1600000,10000,1076252672,20,in_subspace,504,12240000,completed,0.9773745155724032,33.2224668401709,pbmc
6807,0,1679.256552689,35540992,50,rfd,68579,1600000,10000,303583232,20,in_subspace,504,8240008,completed,0.9249060529372775,40.838905699182284,pbmc
6807,0,2416.887821348,130936832,50,sketch_mad,68579,1600000,10000,370610176,20,in_subspace,504,14000024,completed,0.98252667235643,28.37492058764672,pbmc
6807,0,1675.20209492,41943040,50,vanilla_fd,68579,1600000,10000,303759360,20,in_subspace,504,8080000,completed,0.9703918693638977,40.937747277157634,pbmc
6807,270532992,531.695502274,27611136,50,dual_bound,68579,1600000,10000,1959694336,20,bounded_out_of_subspace,505,12240000,completed,0.9708259623855848,128.9817192485089,pbmc
6807,0,1381.748482062,33562624,50,rfd,68579,1600000,10000,1866760192,20,bounded_out_of_subspace,505,8240008,completed,0.9243666189749471,49.63204294435607,pbmc
6807,0,502.568442005,130076672,50,sketch_mad,68579,1600000,10000,370520064,20,bounded_out_of_subspace,505,14000024,completed,0.983230571707855,136.45703603354727,pbmc
6807,0,1611.079944645,41820160,50,vanilla_fd,68579,1600000,10000,304357376,20,bounded_out_of_subspace,505,8080000,completed,0.9707085520308735,42.56709930996709,pbmc
6807,270532992,2027.638854776,54923264,50,dual_bound,68579,1600000,10000,1077837824,20,casewise,505,12240000,completed,0.9776691747164428,33.82209797295295,pbmc
6807,0,1562.23013142,35291136,50,rfd,68579,1600000,10000,304361472,20,casewise,505,8240008,completed,0.9940354536785069,43.89814190670144,pbmc
6807,0,2466.519803563,130744320,50,sketch_mad,68579,1600000,10000,369922048,20,casewise,505,14000024,completed,0.9851125112592134,27.8039527195097,pbmc
6807,0,1613.557596625,41852928,50,vanilla_fd,68579,1600000,10000,304291840,20,casewise,505,8080000,completed,0.998899054596843,42.501736624365535,pbmc
68067,270532992,2118.749768547,55152640,50,dual_bound,68579,1600000,10000,1080979456,20,cellwise,505,12240000,completed,0.9921457447642118,32.36767315237525,pbmc
68067,0,1616.985365594,35512320,50,rfd,68579,1600000,10000,307822592,20,cellwise,505,8240008,completed,0.9952793232530108,42.41163925117373,pbmc
68067,0,2490.467118277,130777088,50,sketch_mad,68579,1600000,10000,374943744,20,cellwise,505,14000024,completed,0.9826250972870525,27.536601265165697,pbmc
68067,0,1628.270105232,42057728,50,vanilla_fd,68579,1600000,10000,307929088,20,cellwise,505,8080000,completed,0.9950524694713384,42.11770502918414,pbmc
0,270532992,2027.911365504,55025664,50,dual_bound,68579,1600000,10000,1077030912,20,clean,505,12240000,completed,0.9847881591774991,33.81755295944897,pbmc
0,0,1518.207725196,35323904,50,rfd,68579,1600000,10000,303620096,20,clean,505,8240008,completed,0.9246560702056339,45.171025586203285,pbmc
0,0,2485.292532732,130883584,50,sketch_mad,68579,1600000,10000,369197056,20,clean,505,14000024,completed,0.9813503016778895,27.59393475689293,pbmc
0,0,1596.506114841,42045440,50,vanilla_fd,68579,1600000,10000,303652864,20,clean,505,8080000,completed,0.9712348947915067,42.95567637511363,pbmc
6807,270532992,2049.640790346,55115776,50,dual_bound,68579,1600000,10000,1077444608,20,in_subspace,505,12240000,completed,0.9774076148576629,33.45903356481463,pbmc
6807,0,1622.040445445,35536896,50,rfd,68579,1600000,10000,304197632,20,in_subspace,505,8240008,completed,0.9243666991084254,42.27946361792824,pbmc
6807,0,2517.378446838,130854912,50,sketch_mad,68579,1600000,10000,369696768,20,in_subspace,505,14000024,completed,0.9828843021389966,27.24222894898458,pbmc
6807,0,1661.780025541,41992192,50,vanilla_fd,68579,1600000,10000,303673344,20,in_subspace,505,8080000,completed,0.9707085518017724,41.26839831142741,pbmc
6807,270532992,670.995713372,27611136,50,dual_bound,68579,1600000,10000,1958400000,20,bounded_out_of_subspace,506,12240000,completed,0.9697977069827759,102.20482580338007,pbmc
6807,0,1432.814816326,33566720,50,rfd,68579,1600000,10000,1867055104,20,bounded_out_of_subspace,506,8240008,completed,0.9260066881967228,47.86312872995628,pbmc
6807,0,2436.791928911,130789376,50,sketch_mad,68579,1600000,10000,369283072,20,bounded_out_of_subspace,506,14000024,completed,0.9831324572331059,28.14314968231526,pbmc
6807,0,1583.406152356,41885696,50,vanilla_fd,68579,1600000,10000,304328704,20,bounded_out_of_subspace,506,8080000,completed,0.9720473478290412,43.31106071424514,pbmc
6807,270532992,2053.344172071,54902784,50,dual_bound,68579,1600000,10000,1077252096,20,casewise,506,12240000,completed,0.9786180874430509,33.39868733785205,pbmc
6807,0,1657.706091294,35246080,50,rfd,68579,1600000,10000,304300032,20,casewise,506,8240008,completed,0.9942896539744505,41.36981842569418,pbmc
6807,0,2401.066231914,130805760,50,sketch_mad,68579,1600000,10000,369336320,20,casewise,506,14000024,completed,0.9838699736185176,28.561894331974564,pbmc
6807,0,1634.33269193,41844736,50,vanilla_fd,68579,1600000,10000,304361472,20,casewise,506,8080000,completed,0.9990975495363354,41.961468640154514,pbmc
68067,270532992,2006.462819533,55218176,50,dual_bound,68579,1600000,10000,1081311232,20,cellwise,506,12240000,completed,0.9922187006906932,34.17905347279827,pbmc
68067,0,1630.416636945,35487744,50,rfd,68579,1600000,10000,307851264,20,cellwise,506,8240008,completed,0.9961791920414559,42.06225479181824,pbmc
68067,0,2344.029697243,130867200,50,sketch_mad,68579,1600000,10000,373669888,20,cellwise,506,14000024,completed,0.9834808195863041,29.256881890473153,pbmc
68067,0,1629.796629955,42098688,50,vanilla_fd,68579,1600000,10000,307449856,20,cellwise,506,8080000,completed,0.995411373999673,42.078256108489754,pbmc
